"Loci","Gene","XGB Score","Training_Score","LocusGene(s)","AvgScore_Per_Locus","SD_Per_Locus","Upper_SD_Threshold","direct_PPI_count","secondary_PPI_count","Avg_TopGene_Diff_Per_Locus","Variance_Per_Locus","IQR_Per_Locus","rsID_LEAD_SNP","minTRAIT","Median_Pvalue","Gene_type"
12,"SLC4A10",0.773211598396301,NA,"AHCTF1P1, SLC4A10, TBR1",0.6712686419487,0.0894400519478249,0.760708693896525,0,1,0.152914434671402,0.00799952289242961,0.0836204588413235,NA,"SBP",1.01e-09,"protein_coding"
13,"FHL5",0.77106899023056,NA,"FHL5, UFL1, UFL1-AS1",0.580947245160739,0.388030425321876,0.968977670482615,1,10,0.384457342326641,0.150567610975476,0.351365767419338,"rs2971603","SBP",5.48e-20,"protein_coding"
14,"BTBD1",0.835766911506653,NA,"BNC1, BTBD1, C15orf40, HDGFRP3, HOMER2, TM6SF1",0.608282138903936,0.176647734412241,0.784929873316177,0,5,0.272981727123261,0.0312044220729776,0.196177415549755,NA,"DBP",2.36e-07,"protein_coding"
15,"STEAP2",0.724978566169739,NA,"DPY19L2P4, STEAP1, STEAP2, STEAP2-AS1",0.48356943204999,0.208612318309256,0.692181750359246,0,0,0.321878845492999,0.0435190993503625,0.252035181969405,"rs11770630, rs10270950, rs194520, rs194524","PP",1.105e-14,"protein_coding"
16,"MAK16",0.821401953697205,NA,"FUT10, MAK16, TTI2",0.785203198591868,0.0323646092415566,0.817567807833425,0,1,0.054298132658005,0.00104746793135865,0.031171053647995,NA,"PP",5.705e-09,"protein_coding"
17,"RC3H2",0.821778655052185,NA,"RABGAP1, RC3H2, STRBP, ZBTB26",0.776836544275284,0.0554640897078706,0.832300633983155,0,6,0.0599228143692013,0.00307626524712271,0.034600794315338,NA,"PP",1.45e-17,"protein_coding"
18,"KDM5A",0.819124162197113,NA,"CCDC77, KDM5A",0.771185845136642,0.0677950181442589,0.838980863280901,0,8,0.0958766341209411,0.0045961644851804,0.0479383170604705,"rs78998485","SBP",6.51e-11,"protein_coding"
19,"PIAS1",0.791966736316681,NA,"CALML4, CLN6, PIAS1, RP11-315D16.2",0.52836361899972,0.298307197478914,0.826670816478634,1,28,0.351470823089282,0.0889871840677239,0.193837191909551,"rs62004794","DBP",8.35e-08,"protein_coding"
20,"OLA1",0.687561392784119,NA,"OLA1",0.687561392784119,NA,NA,1,22,NA,NA,0,"rs11694601, rs10048760","SBP",1.82e-09,"protein_coding"
21,"PPP2R5E",0.821401953697205,NA,"PPP2R5E",0.821401953697205,NA,NA,0,3,NA,NA,0,"rs8016306","SBP",1.865e-07,"protein_coding"
22,"LHFPL2",0.66450971364975,NA,"LHFPL2",0.66450971364975,NA,NA,0,1,NA,NA,0,"rs6453400, rs10057188, rs890745","PP",2.98e-17,"protein_coding"
23,"EPB41",0.815658867359161,0.75,"EPB41, MECR, PTPRU, SRSF4, TMEM200B",0.777754330635071,0.0299381248645635,0.807692455499634,1,24,0.0473806709051128,0.000896291320406193,0.0399348735809321,NA,"DBP",1.7e-08,"protein_coding"
24,"UNC5C",0.851226985454559,NA,"UNC5C",0.851226985454559,NA,NA,0,0,NA,NA,0,NA,"SBP",1.69e-06,"protein_coding"
25,"DIRC1",0.102194614708424,NA,"DIRC1",0.102194614708424,NA,NA,0,0,NA,NA,0,"rs11901929","PP",1.34e-06,"protein_coding"
26,"PPP2R1B",0.857397973537445,NA,"PPP2R1B, SIK2",0.821808278560638,0.0503314293169213,0.87213970787756,0,18,0.0711793899536129,0.00253325277708425,0.0355896949768064,NA,"DBP",8.71e-10,"protein_coding"
27,"MTCO3P1",0.102194614708424,NA,"MTCO3P1",0.102194614708424,NA,NA,0,0,NA,NA,0,NA,"DBP",8.2e-38,"pseudogene"
28,"TRIM13",0.664763808250427,0.75,"DLEU2, KCNRG, SPRYD7, TRIM13",0.562208652496338,0.124946383700296,0.687155036196634,1,10,0.136740207672119,0.0156115987997817,0.173479706048966,NA,"DBP",8.93e-09,"protein_coding"
29,"CNOT1",0.786839306354523,NA,"CNOT1, NDRG4, SETD6",0.751273294289907,0.150001310076343,0.901274604366251,0,10,0.193532884120941,0.0225003930246193,0.146804928779602,"rs37060, rs7188697","PP",1.435e-09,"protein_coding"
30,"MCRS1",0.763214945793152,NA,"FAM186B, KCNH3, MCRS1, PRPF40B",0.676645040512085,0.123678974886921,0.800324015399006,0,8,0.129608631134033,0.0152964888290797,0.142292082309723,NA,"PP",1.05e-08,"protein_coding"
31,"CYP11B1",0.8273805975914,0.75,"CYP11B1, CYP11B2, GML",0.599038412173589,0.381277179014686,0.980315591188275,1,1,0.342513278126716,0.145372287237397,0.334249868988991,NA,"DBP",8.37e-17,"protein_coding"
31,"CYP11B2",0.810853779315949,1,"CYP11B1, CYP11B2, GML",0.599038412173589,0.381277179014686,0.980315591188275,0,5,0.342513278126716,0.145372287237397,0.334249868988991,NA,"DBP",1.34e-17,"protein_coding"
32,"OR4A16",0.152434289455414,NA,"OR4A11P, OR4A13P, OR4A14P, OR4A15, OR4A16, OR4A17P, OR4A50P, OR4A9P, OR4C11, OR4C15, OR4C16, OR4C6, OR4P1P, OR4S2, OR4X7P, OR5D13, OR5D14, OR5D15P, OR5D17P, OR5D2P, TRIM48, TRIM51HP",0.11886846578934,0.0276894136736509,0.146557879462991,0,0,0.0668981618114878,0.000766703629590563,0.039060194045305,"rs75905900","SBP",1.415e-20,"protein_coding"
32,"OR4C11",0.152434289455414,NA,"OR4A11P, OR4A13P, OR4A14P, OR4A15, OR4A16, OR4A17P, OR4A50P, OR4A9P, OR4C11, OR4C15, OR4C16, OR4C6, OR4P1P, OR4S2, OR4X7P, OR5D13, OR5D14, OR5D15P, OR5D17P, OR5D2P, TRIM48, TRIM51HP",0.11886846578934,0.0276894136736509,0.146557879462991,0,0,0.0668981618114878,0.000766703629590563,0.039060194045305,NA,"SBP",4.21e-18,"protein_coding"
32,"OR4C15",0.165922865271568,NA,"OR4A11P, OR4A13P, OR4A14P, OR4A15, OR4A16, OR4A17P, OR4A50P, OR4A9P, OR4C11, OR4C15, OR4C16, OR4C6, OR4P1P, OR4S2, OR4X7P, OR5D13, OR5D14, OR5D15P, OR5D17P, OR5D2P, TRIM48, TRIM51HP",0.11886846578934,0.0276894136736509,0.146557879462991,0,0,0.0668981618114878,0.000766703629590563,0.039060194045305,NA,"SBP",9.025e-20,"protein_coding"
32,"OR4C6",0.152434289455414,NA,"OR4A11P, OR4A13P, OR4A14P, OR4A15, OR4A16, OR4A17P, OR4A50P, OR4A9P, OR4C11, OR4C15, OR4C16, OR4C6, OR4P1P, OR4S2, OR4X7P, OR5D13, OR5D14, OR5D15P, OR5D17P, OR5D2P, TRIM48, TRIM51HP",0.11886846578934,0.0276894136736509,0.146557879462991,0,0,0.0668981618114878,0.000766703629590563,0.039060194045305,NA,"SBP",2.35e-19,"protein_coding"
32,"OR5D13",0.182725802063942,NA,"OR4A11P, OR4A13P, OR4A14P, OR4A15, OR4A16, OR4A17P, OR4A50P, OR4A9P, OR4C11, OR4C15, OR4C16, OR4C6, OR4P1P, OR4S2, OR4X7P, OR5D13, OR5D14, OR5D15P, OR5D17P, OR5D2P, TRIM48, TRIM51HP",0.11886846578934,0.0276894136736509,0.146557879462991,0,0,0.0668981618114878,0.000766703629590563,0.039060194045305,NA,"SBP",1.32e-18,"protein_coding"
32,"TRIM48",0.165922865271568,NA,"OR4A11P, OR4A13P, OR4A14P, OR4A15, OR4A16, OR4A17P, OR4A50P, OR4A9P, OR4C11, OR4C15, OR4C16, OR4C6, OR4P1P, OR4S2, OR4X7P, OR5D13, OR5D14, OR5D15P, OR5D17P, OR5D2P, TRIM48, TRIM51HP",0.11886846578934,0.0276894136736509,0.146557879462991,0,0,0.0668981618114878,0.000766703629590563,0.039060194045305,NA,"SBP",5.19e-20,"protein_coding"
33,"GLYAT",0.819505095481873,NA,"CNTF, GLYAT, LPXN, OR5B12, OR5B2, OR5B21, ZFP91",0.434002681502274,0.325315762459887,0.759318443962161,0,0,0.449752816309532,0.105830345304858,0.599693574011325,NA,"SBP",1.01e-20,"protein_coding"
34,"BANP",0.762249231338501,NA,"BANP",0.762249231338501,NA,NA,0,12,NA,NA,0,"rs6540125","SBP",7.15e-10,"protein_coding"
35,"GLE1",0.832039296627045,NA,"GLE1, ODF2",0.721438407897949,0.156413276851204,0.877851684749154,0,0,0.221201777458191,0.0244651131753315,0.110600888729095,NA,"PP",8.4e-07,"protein_coding"
36,"PPHLN1",0.900176584720612,NA,"GXYLT1, PPHLN1, PRICKLE1, YAF2, ZCRB1",0.785898280143738,0.0827754324418952,0.868673712585633,0,0,0.142847880721093,0.00685177221594276,0.05149781703949,NA,"DBP",8.935e-08,"protein_coding"
37,"AUTS2",0.783785998821259,NA,"AUTS2",0.783785998821259,NA,NA,0,5,NA,NA,0,"rs2222544","DBP",1.43e-06,"protein_coding"
38,"TRPC4AP",0.745051145553589,NA,"EDEM2, GDF5, GDF5OS, PROCR, TRPC4AP, UQCC1",0.603569688896338,0.254800662060396,0.858370350956734,0,24,0.300263497233391,0.0649233773864161,0.176577568054199,NA,"PP",0.001118,"protein_coding"
39,"BCKDHB",0.704852879047394,NA,"BCKDHB",0.704852879047394,NA,NA,0,0,NA,NA,0,"rs7753695","DBP",5.9e-08,"protein_coding"
40,"STK39",0.822003185749054,0.75,"STK39",0.822003185749054,NA,NA,1,10,NA,NA,0,"rs6749447","SBP,PP",0.07475,"protein_coding"
41,"XPR1",0.819676637649536,NA,"XPR1",0.819676637649536,NA,NA,0,0,NA,NA,0,"rs1043069","SBP",3.56e-13,"protein_coding"
42,"IARS",0.813214123249054,NA,"ASPN, BEND3P2, CENPP, ECM2, IARS, NOL8, OGN, OMD",0.660915874876082,0.249529966383911,0.910445841259993,0,6,0.263738469353744,0.0622652041235559,0.190094754099846,NA,"PP,SBP",5.97e-08,"protein_coding"
43,"CCNT2",0.795983910560608,NA,"ACMSD, CCNT2, CCNT2-AS1, MAP3K19",0.640725538134575,0.217609979990305,0.85833551812488,0,3,0.267718811829885,0.0473541033913809,0.302451089024544,NA,"DBP",2.45e-10,"protein_coding"
44,"JMJD1C",0.781917095184326,NA,"JMJD1C, JMJD1C-AS1, REEP3",0.550900161266327,0.231580631773466,0.782480793039793,0,4,0.346525400876998,0.0536295890125976,0.231578588485718,NA,"DBP",6.345e-17,"protein_coding"
45,"COL8A1",0.8423792719841,NA,"CMSS1, COL8A1, FILIP1L",0.812346279621124,0.120479961045096,0.932826240666221,0,0,0.153933763504029,0.0145154210134279,0.117639005184174,NA,"PP",5.855e-08,"protein_coding"
45,"FILIP1L",0.91496878862381,NA,"CMSS1, COL8A1, FILIP1L",0.812346279621124,0.120479961045096,0.932826240666221,0,0,0.153933763504029,0.0145154210134279,0.117639005184174,"rs56233205","PP",4.98e-09,"protein_coding"
46,"COG5",0.853794753551483,NA,"BANF1P5, BCAP29, COG5, DUS4L, SLC26A4, SLC26A4-AS1, WBP1LP2",0.530059279075691,0.264252171128378,0.794311450204069,0,2,0.377691386888424,0.0698292099460617,0.316304266452789,"rs67183972, rs115172170","PP",2.06e-06,"protein_coding"
47,"TRPM7",0.871490359306335,NA,"TRPM7, USP50",0.834811031818389,0.0518724023921768,0.886683434210566,0,4,0.073358654975891,0.00269074612993591,0.0366793274879454,"rs2899463, rs12906409","PP",8.015e-17,"protein_coding"
48,"ZAP70",0.760144770145416,0.75,"TMEM131, ZAP70",0.741325438022614,0.026614554722871,0.767939992745485,1,19,0.037638664245605,0.000708334523096693,0.0188193321228023,"rs4851462","DBP",4.33e-09,"protein_coding"
49,"OR4C46",0.162512540817261,NA,"OR4A2P, OR4A5, OR4A6P, OR4A7P, OR4C46, OR4C50P, OR4C7P",0.110811461295401,0.0227980331547361,0.133609494450137,0,0,0.060317926108837,0.000519750315724446,0,"rs77689730","SBP",2.4035e-17,"protein_coding"
50,"CACNA2D2",0.881308913230896,1,"CACNA2D2",0.881308913230896,NA,NA,0,4,NA,NA,0,"rs743757","DBP",2.61e-09,"protein_coding"
51,"MXI1",0.826900124549866,NA,"MXI1, SMNDC1",0.823004305362701,0.00550952033104132,0.828513825693743,0,2,0.00779163837432895,3.03548142781577e-05,0.00389581918716453,"rs111777102","DBP",3.135e-07,"protein_coding"
52,"DCDC1",0.852129280567169,NA,"DCDC1",0.852129280567169,NA,NA,0,3,NA,NA,0,"rs273592, rs61878206, rs919045","DBP",2.51e-08,"protein_coding"
53,"FTO",0.694271981716156,0.75,"FTO",0.694271981716156,NA,NA,0,4,NA,NA,0,"rs11642015, rs62033406","PP, DBP",0.0002443,"protein_coding"
54,"NEK6",0.779961407184601,NA,"NEK6",0.779961407184601,NA,NA,0,3,NA,NA,0,"rs7861040","SBP",1.065e-08,"protein_coding"
55,"BAZ2A",0.785191357135773,NA,"ATP5B, BAZ2A",0.55038033425808,0.332072933148333,0.882453267406413,0,14,0.469622045755387,0.110272432929737,0.234811022877693,NA,"DBP",1.19e-13,"protein_coding"
56,"ARMC4",0.777467131614685,NA,"ARMC4",0.777467131614685,NA,NA,0,0,NA,NA,0,"rs7893462, rs3802517","SBP",7.6e-16,"protein_coding"
57,"ARHGEF26",0.921314120292664,NA,"ARHGEF26, ARHGEF26-AS1, RPL21P42",0.459042799969514,0.419612582225411,0.878655382194925,0,1,0.693406980484724,0.176074719161877,0.40955975279212,"rs357489","DBP",1.63e-12,"protein_coding"
58,"FAF1",0.799986779689789,NA,"CDKN2C, DMRTA2, FAF1",0.569945548971494,0.385393327384575,0.955338876356069,1,44,0.345061846077443,0.148528016792554,0.337484546005726,"rs147696085, rs12095997","PP,DBP",3.64e-11,"protein_coding"
59,"GTF2B",0.793077647686005,NA,"CCBL2, GTF2B, PKN2",0.68556159734726,0.203834054942561,0.889395652289821,0,29,0.191349595785141,0.0415483219543271,0.181324422359467,"rs12035750, rs10922502","SBP",3.55e-20,"protein_coding"
60,"RERG",0.875810384750366,NA,"RERG",0.875810384750366,NA,NA,0,0,NA,NA,0,"rs7313556","DBP, PP",6.165e-10,"protein_coding"
61,"TMEM108",0.749703586101532,NA,"TMEM108",0.749703586101532,NA,NA,0,1,NA,NA,0,"rs9875380, rs4854572","SBP",2.78e-08,"protein_coding"
62,"SLC26A7",0.725736141204834,NA,"LRRC69, SLC26A7",0.579942569136619,0.206183246925688,0.786125816062308,0,0,0.291587144136429,0.0425115313128193,0.145793572068215,"rs10956797","PP",3.77e-17,"protein_coding"
63,"TBL1XR1",0.80984091758728,NA,"TBL1XR1",0.80984091758728,NA,NA,0,22,NA,NA,0,NA,"PP",8.65e-07,"protein_coding"
64,"SIRT4",0.788621962070465,NA,"MSI1, NME2P1, PLA2G1B, RPS27P25, SIRT4",0.599988561868667,0.290413360154105,0.890401922022773,0,3,0.251010976731777,0.0843399197559982,0.327063113451004,NA,"DBP",2.65e-11,"protein_coding"
65,"SULT1C3",0.165922865271568,NA,"SULT1C3",0.165922865271568,NA,NA,0,0,NA,NA,0,"rs6722745","DBP",2.515e-06,"protein_coding"
66,"PIP5K1B",0.772706806659699,NA,"PIP5K1B",0.772706806659699,NA,NA,0,1,NA,NA,0,"rs7042283","SBP",5.2e-05,"protein_coding"
67,"DYSF",0.873928129673004,NA,"DYSF, ZNF638",0.83808633685112,0.0506879495084751,0.888774286359595,0,1,0.0716835856437681,0.00256926822537372,0.0358417928218839,NA,"PP",1.75e-10,"protein_coding"
68,"GRM7",0.724934041500092,NA,"GRM7",0.724934041500092,NA,NA,0,6,NA,NA,0,"rs9865843, rs2229902","DBP",4.41e-06,"protein_coding"
69,"CCDC41",0.66277426481247,NA,"CCDC41",0.66277426481247,NA,NA,0,0,NA,NA,0,NA,"PP",8.08e-23,"protein_coding"
70,"COPS4",0.790076017379761,NA,"COPS4, LIN54, SEC31A, THAP9",0.757716208696365,0.0670513349602873,0.824767543656653,1,18,0.0775567293167114,0.00449588151995664,0.0591770708560946,NA,"PP",3.91e-10,"protein_coding"
71,"ZMAT5",0.851927280426025,NA,"ASCC2, UQCR10, ZMAT5",0.666949808597565,0.161272670336798,0.828222478934362,0,1,0.27746620774269,0.0260088741975614,0.148038685321807,NA,"PP,SBP",1.29e-08,"protein_coding"
72,"P2RY6",0.851644277572632,0.75,"ARHGEF17, FAM168A, P2RY6, RELT",0.738725632429123,0.107580119599956,0.846305752029079,0,0,0.150558193524679,0.0115734821331408,0.105223417282105,NA,"DBP",3.31e-08,"protein_coding"
73,"OR4A40P",0.118660986423492,NA,"OR4A40P, OR4A43P, OR4A46P, OR4A48P, OR4C10P, OR4C2P, OR4C9P, OR4R1P",0.104231145232916,0.00583085469395605,0.110061999926872,0,0,0.0164912470749439,3.39988664620293e-05,0,NA,"SBP",1.4085e-26,"pseudogene"
74,"PRKD1",0.876064002513886,NA,"PRKD1",0.876064002513886,NA,NA,0,19,NA,NA,0,"rs17115145","SBP",3.915e-08,"protein_coding"
75,"FBXL17",0.793964385986328,NA,"FBXL17",0.793964385986328,NA,NA,0,3,NA,NA,0,"rs286809","PP,SBP",2.885e-06,"protein_coding"
76,"STXBP5",0.776785254478455,NA,"STXBP5",0.776785254478455,NA,NA,0,1,NA,NA,0,"rs9390459, rs2328813, rs9373523","DBP,SBP",8.09e-10,"protein_coding"
77,"TBXAS1",0.827943384647369,NA,"HIPK2, TBXAS1",0.820551455020905,0.0104537671298536,0.831005222150758,0,0,0.014783859252929,0.000109281247205208,0.00739192962646462,NA,"SBP",4.26e-13,"protein_coding"
78,"ARNTL",0.914762437343597,NA,"ARNTL",0.914762437343597,NA,NA,0,10,NA,NA,0,"rs900145, rs10832013","DBP",7.27e-14,"protein_coding"
79,"OGFOD2",0.823858678340912,NA,"ABCB9, OGFOD2, PITPNM2",0.762038886547089,0.0617375533530345,0.823776439900123,0,0,0.092729687690735,0.00381152549401878,0.0617373883724215,NA,"DBP",9.03e-14,"protein_coding"
80,"CTNND1",0.773909986019135,NA,"C11orf31, CLP1, CTNND1, MED19, OR5AZ1P, OR5B3, OR5BA1P, TMX2, TMX2-CTNND1, ZDHHC5",0.500486627221108,0.308058392208799,0.808545019429907,0,17,0.341556386815177,0.0948999730102704,0.609616938978434,NA,"PP",1.82e-16,"protein_coding"
81,"INO80",0.787288129329681,NA,"CHAC1, FAM92A1P1, INO80",0.696749746799469,0.100878337887923,0.797628084687392,0,20,0.135807573795318,0.01017643905503,0.0996391773223875,"rs12905926, rs2925345","DBP",5.78e-26,"protein_coding"
82,"CHST9",0.849444389343262,NA,"CHST9",0.849444389343262,NA,NA,0,1,NA,NA,0,"rs1154214","SBP",1.23e-10,"protein_coding"
83,"NEDD4L",0.866883218288422,1,"NEDD4L",0.866883218288422,NA,NA,0,91,NA,NA,0,"rs7235890","DBP",4.1e-08,"protein_coding"
84,"MLIP",0.956033706665039,NA,"MLIP",0.956033706665039,NA,NA,0,1,NA,NA,0,"rs631441, rs562626","PP",9.17e-11,"protein_coding"
85,"ARRDC1",0.877033174037933,NA,"ARRDC1, C9orf37, EHMT1, ZMYND19",0.686089597642422,0.274616410510347,0.960706008152769,1,5,0.254591435194015,0.0754141729215875,0.169933594763279,NA,"DBP",0.001396,"protein_coding"
86,"FBN1",0.843501925468445,NA,"FBN1",0.843501925468445,NA,NA,0,12,NA,NA,0,"rs8036173, rs1848050, rs1036477","PP",1.245e-46,"protein_coding"
87,"POLN",0.691483974456787,NA,"POLN",0.691483974456787,NA,NA,0,10,NA,NA,0,"rs55829085, rs9328764, rs10011549, rs10018786, rs11937432","DBP",4.49e-11,"protein_coding"
88,"CPEB4",0.816446602344513,NA,"CPEB4",0.816446602344513,NA,NA,0,0,NA,NA,0,"rs72812818, rs72812846","DBP",2.86e-26,"protein_coding"
89,"AKR1B10",0.860425472259522,NA,"AKR1B10",0.860425472259522,NA,NA,0,0,NA,NA,0,"rs1722886","SBP, DBP",3.28e-09,"protein_coding"
90,"ASXL3",0.683172583580017,NA,"ASXL3",0.683172583580017,NA,NA,0,1,NA,NA,0,"rs10164193, rs7226575","DBP",5.15e-11,"protein_coding"
91,"MAST4",0.6862673163414,NA,"MAST4",0.6862673163414,NA,NA,0,0,NA,NA,0,"rs4286632, rs1159201","SBP,DBP",3.395e-09,"protein_coding"
92,"YAP1",0.781730234622955,NA,"YAP1",0.781730234622955,NA,NA,0,45,NA,NA,0,"rs12807220","PP",4.32e-11,"protein_coding"
93,"WNT3A",0.658195793628693,NA,"WNT3A",0.658195793628693,NA,NA,0,3,NA,NA,0,"rs2760061, rs964941","DBP",1.21e-22,"protein_coding"
94,"ADSL",0.852380812168121,NA,"ADSL, SGSM3, TNRC6B",0.794217149416606,0.0506685677212578,0.844885717137863,0,2,0.087245494127273,0.00256730375492368,0.0463634133338925,NA,"PP",4.19e-19,"protein_coding"
95,"MYO1D",0.896230340003967,NA,"C17orf75, CDK5R1, MYO1D, PSMD11, ZNF207",0.818483555316925,0.0525048647308666,0.870988420047792,0,4,0.0971834808588022,0.0027567608204066,0.060738503932953,NA,"SBP",2.89e-09,"protein_coding"
96,"HTRA1",0.610264718532562,NA,"ARMS2, HTRA1",0.51941280066967,0.128484014409308,0.647896815078978,1,3,0.181703835725784,0.0165081419587314,0.090851917862892,"rs72834448, rs72834453","SBP",8.37e-12,"protein_coding"
97,"POLR3C",0.877954721450806,NA,"CD160, POLR3C, RNF115",0.637691974639893,0.208674470349975,0.846366444989868,0,9,0.36039412021637,0.0435450345758427,0.18810898065567,NA,"DBP",5.11e-08,"protein_coding"
98,"OPRM1",0.768885016441345,0.75,"OPRM1",0.768885016441345,NA,NA,0,13,NA,NA,0,"rs540825, rs598682","DBP",2.75e-07,"protein_coding"
99,"EXOC6B",0.717680811882019,NA,"EXOC6B",0.717680811882019,NA,NA,0,6,NA,NA,0,"rs10193543, rs1876490","DBP",5.695e-09,"protein_coding"
100,"REEP1",0.733420372009277,NA,"REEP1",0.733420372009277,NA,NA,0,2,NA,NA,0,"rs1010239, rs4832029, rs2003931","SBP",2.43e-13,"protein_coding"
101,"TRIP12",0.79953795671463,NA,"TRIP12",0.79953795671463,NA,NA,0,24,NA,NA,0,"rs1044822","SBP",4.34e-08,"protein_coding"
102,"POLD3",0.82001930475235,NA,"POLD3",0.82001930475235,NA,NA,0,3,NA,NA,0,"rs4420291","DBP",2.5e-07,"protein_coding"
103,"CWC27",0.882744550704956,NA,"CWC27",0.882744550704956,NA,NA,0,2,NA,NA,0,"rs6875372","SBP, PP",1.81e-09,"protein_coding"
104,"EPC1",0.80226457118988,NA,"ARHGAP12, EPC1",0.762630492448807,0.0560510516877893,0.818681544136596,0,4,0.079268157482147,0.00314172039530723,0.0396340787410736,"rs76164690","DBP",7.97e-09,"protein_coding"
105,"MED21",0.820364952087402,NA,"C12orf71, MED21",0.482052393257618,0.478446209018226,0.960498602275844,0,11,0.676625117659568,0.228910774923912,0.338312558829784,NA,"SBP",2.26e-10,"protein_coding"
106,"MAD1L1",0.872030854225159,NA,"MAD1L1",0.872030854225159,NA,NA,0,22,NA,NA,0,"rs4721175, rs6959688","SBP,DBP",4.225e-13,"protein_coding"
107,"IK",0.785652041435242,NA,"DND1, HARS, HARS2, IK, NDUFA2, PCDHA1, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, TMCO6, WDR55, ZMAT2",0.526307909749448,0.247087772280787,0.773395682030235,0,13,0.276633740464847,0.061052367210682,0.510373666882515,NA,"SBP",1.11e-13,"protein_coding"
108,"PIGC",0.837109208106995,NA,"DNM3, PIGC",0.746295005083085,0.128430677572518,0.874725682655602,0,0,0.181628406047821,0.0164944389417361,0.0908142030239104,"rs12405515","DBP",9.53e-22,"protein_coding"
109,"RP11-1055B8.7",0.384224772453308,NA,"RP11-1055B8.7",0.384224772453308,NA,NA,0,0,NA,NA,0,NA,"SBP",5.07e-09,"protein_coding"
110,"DNAJC16",0.837760746479034,NA,"AGMAT, C1orf64, CLCNKA, DNAJC16, HSPB7",0.595775903761387,0.304986091849126,0.900761995610513,0,2,0.302481053397059,0.0930165162214037,0.29387879371643,NA,"SBP",1.42e-16,"protein_coding"
110,"HSPB7",0.740765750408173,NA,"AGMAT, C1orf64, CLCNKA, DNAJC16, HSPB7",0.595775903761387,0.304986091849126,0.900761995610513,0,2,0.302481053397059,0.0930165162214037,0.29387879371643,"rs1048238","DBP",7.18e-14,"protein_coding"
111,"MBNL2",0.794665575027466,NA,"MBNL2",0.794665575027466,NA,NA,0,1,NA,NA,0,"rs55684003","DBP",2.48e-10,"protein_coding"
112,"HIP1",0.802423179149628,NA,"HIP1, PMS2P3, POM121C",0.652029236157735,0.150343235185188,0.802372471342924,0,6,0.225590914487839,0.0226030883659489,0.150343209505082,"rs1167827","SBP",1.56e-07,"protein_coding"
113,"POU2F1",0.816259264945984,NA,"POU2F1",0.816259264945984,NA,NA,1,28,NA,NA,0,"rs7524019","DBP",1.23e-08,"protein_coding"
