Gene	REVEL.max	MetaSVM_rankscore.max	MetaLR_rankscore.max	MCAP.max	wgEncodeBroadHmmHuvecHMM.count	betamax	logpval_gwascatalog	Adipose - Subcutaneous_GTExTPM	Adipose - Visceral (Omentum)_GTExTPM	Adrenal Gland_GTExTPM	Artery - Aorta_GTExTPM	Artery - Coronary_GTExTPM	Artery - Tibial_GTExTPM	Bladder_GTExTPM	Brain - Amygdala_GTExTPM	Brain - Anterior cingulate cortex (BA24)_GTExTPM	Brain - Caudate (basal ganglia)_GTExTPM	Brain - Cerebellar Hemisphere_GTExTPM	Brain - Cerebellum_GTExTPM	Brain - Cortex_GTExTPM	Brain - Frontal Cortex (BA9)_GTExTPM	Brain - Hippocampus_GTExTPM	Brain - Hypothalamus_GTExTPM	Brain - Nucleus accumbens (basal ganglia)_GTExTPM	Brain - Putamen (basal ganglia)_GTExTPM	Brain - Spinal cord (cervical c-1)_GTExTPM	Brain - Substantia nigra_GTExTPM	Breast - Mammary Tissue_GTExTPM	Cells - Cultured fibroblasts_GTExTPM	Cells - EBV-transformed lymphocytes_GTExTPM	Cervix - Ectocervix_GTExTPM	Cervix - Endocervix_GTExTPM	Colon - Sigmoid_GTExTPM	Colon - Transverse_GTExTPM	Esophagus - Gastroesophageal Junction_GTExTPM	Esophagus - Mucosa_GTExTPM	Esophagus - Muscularis_GTExTPM	Fallopian Tube_GTExTPM	Heart - Atrial Appendage_GTExTPM	Heart - Left Ventricle_GTExTPM	Kidney - Cortex_GTExTPM	Kidney - Medulla_GTExTPM	Liver_GTExTPM	Lung_GTExTPM	Minor Salivary Gland_GTExTPM	Muscle - Skeletal_GTExTPM	Nerve - Tibial_GTExTPM	Ovary_GTExTPM	Pancreas_GTExTPM	Pituitary_GTExTPM	Prostate_GTExTPM	Skin - Not Sun Exposed (Suprapubic)_GTExTPM	Skin - Sun Exposed (Lower leg)_GTExTPM	Small Intestine - Terminal Ileum_GTExTPM	Spleen_GTExTPM	Stomach_GTExTPM	Testis_GTExTPM	Thyroid_GTExTPM	Uterus_GTExTPM	Vagina_GTExTPM	Whole Blood_GTExTPM	DeepSEA_Functional_Significance	ExomiserScore	humanscore_Exomiser	mousescore_Exomiser	fishscore_Exomiser	ppiscore_Exomiser	BPmed	SideeffectFreq	Sideeffectseverity	Others	Mechanism	RVIS_Score	Rank	humancellsensitivity	humancellspecificity	mousecellsensitivity	mousecellspecificity	ui_panglaoDB	CpGcount	DNaseCluster_count	EnhancerCount	SDI	H3k4me1_count	SignalValue_H3k4me1_median	H3k4me3_count	SignalValue_H3k4me3_median	H3k27Ac_count	SignalValue_H3k27Ac_median	pLI_ExAC	CNVs_ExAC	Gene_length	MGI_Gene	Ratmodel_Gene	GDI_Score	GTEx_signif_sexbias	HIPred	IPA_BP	IPA_Activity	O_GlcNAc_Score	EMS_Max	PharmGKB_Score	ExAc_constraint_obs_exp	PolyPhen	DANN_score	CADD_RAW	Eigen-raw_coding_rankscore	GenoCanyon_rankscore	M-CAP_rankscore	MetaLR_rankscore	MetaSVM_rankscore	MutationAssessor_rankscore	REVEL_score	fathmm-MKL_coding_score	integrated_fitCons_rankscore	LoFtool	GERP_Rankscore	BPlabel
AC018445.1	NA	NA	NA	NA	210	-0.3834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	2	7.766	NA	NA	NA	NA	NA	NA	245	NA	NA	171.18661	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.669	NA	least likely
AC020907.1	NA	NA	NA	NA	261	-0.4349	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	16	NA	9	7.39595	NA	NA	NA	NA	NA	NA	1268	NA	NA	4573.51533	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0.768502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC022532.1	NA	NA	NA	NA	21	-0.229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	1	7.12536	NA	NA	NA	NA	0.050466464	0	1729	NA	NA	31.18816	NA	0.146139458	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC068620.1	NA	NA	NA	NA	846	0.4032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	9.83397	2	6.494215	2	19.80625	NA	NA	449	NA	NA	3024.54248	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC090574.1	NA	NA	NA	NA	30	0.2594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.21595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	3.22414	6	11.3537	NA	NA	NA	NA	232	NA	NA	2440.91385	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0.307861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC091150.1	NA	NA	NA	NA	66	0.1789	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	536	NA	NA	1631.49769	NA	NA	0	0	NA	NA	NA	NA	NA	NA	1.024759	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC093677.1	NA	NA	NA	NA	105	0.3539	269.2218487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	1	8.99874	1	46.6807	1	53.7687	NA	NA	758	NA	NA	86.29137	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.505	NA	least likely
AC108868.1	NA	NA	NA	NA	176	-0.4437	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.12439	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4120	NA	NA	10.46141	NA	NA	0	0	NA	NA	NA	NA	NA	NA	-0.363241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC111200.1	NA	NA	NA	NA	135	1.0733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3804	NA	NA	0.31036	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0.979652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC117834.1	NA	NA	NA	NA	115	-0.4311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2148	NA	NA	7.54913	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.631	NA	least likely
ACBD4	0.02	0.327	0	NA	80	0.5089	26.09691001	15.5006	11.6054	17.6493	31.5876	23.9108	25.8578	24.6672	9.65303	11.9771	12.402	28.141	29.1942	14.1546	13.1628	8.22106	10.4895	13.9978	10.2432	8.03246	7.8474	18.05	7.39814	12.062	26.3404	37.3249	26.6541	18.1239	26.9928	6.97351	24.7069	34.6796	7.29653	3.57034	16.2436	14.827	41.5886	14.7093	16.0221	3.35894	33.0194	32.1197	9.94938	23.8061	29.9237	11.1244	11.5966	27.0472	20.5467	12.5673	7.19681	36.2435	33.4278	19.5113	4.45746	0.14257	0	0	0	0	0	3	0	0	0	0	0.46	NA	NA	NA	NA	NA	NA	NA	5	12	NA	40	7.52807	34	13.9069	21	8.79144	1.82643E-05	21	11581	NA	NA	139.59497	1	0.123297259	0	0	NA	NA	NA	NA	NA	NA	1.107249	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.834	NA	most likely
ACE	0.278	0.712	0.531	NA	17	-0.433	13.15490196	16.055	8.79466	3.1546	2.80692	4.49293	1.95095	3.98414	1.00705	2.02523	8.16067	1.71526	2.02249	3.34507	2.72993	1.10272	1.83437	5.70584	6.51267	0.801155	0.598217	9.18845	6.40418	0.157691	12.3299	8.66642	3.99575	10.0688	5.15937	3.44775	4.93844	3.49419	2.92323	2.16295	3.8524	2.02982	0.520167	38.9633	8.69263	1.42466	5.10211	2.74678	1.77716	12.4842	9.54126	3.26526	4.22766	64.7819	2.9618	3.68586	112.341	22.3236	5.26453	4.84882	0.311329	0.034431	0.930627006	0.816284141	0.930627006	0	0.524991347	3	0	0	0	3	-0.57	52	0	0.0259002	1	0.0216678	0.022	2	59	56	7.94256213	16	6.08771	14	6.52609	19	8.17879	4.63283E-18	6	44787	NA	NA	1006.9095	1	0.158249199	1	0	NA	NA	2.25	NA	NA	NA	1.47516	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.73	NA	most likely
ADRA2B	0.056	0.081	0.112	NA	269	-0.5859	NA	10.0737	7.30688	2.6396	5.78587	3.44046	5.07909	4.42046	0.778696	0.341963	2.05341	0.287553	0.437873	0.528475	0.413968	0.759966	0.498942	2.09997	1.63074	1.82207	0.521884	5.28917	0.0129655	0.209253	3.34498	3.34022	3.94636	2.88098	6.59566	0.891765	7.61383	5.08615	1.82702	5.30276	3.54464	5.71468	4.6432	1.05922	2.67546	5.03811	10.0526	2.65881	0.527113	0.807384	2.67347	2.15888	3.0219	3.88333	13.1199	2.42659	3.12083	2.94785	6.14392	2.50069	0.0532733	0.013808	0.514240382	0	0.514240382	0	0.501582272	3	0	0	0	3	-0.25	83	NA	NA	NA	NA	NA	2	9	NA	2.80622297	10	3.2277	9	7.86021	NA	NA	0.000244369	4	3277	NA	NA	62.69652	NA	0.238498077	1	0	NA	NA	NA	NA	NA	NA	0.847727	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.33	NA	most likely
ADRB1	0.04	0.102	0	NA	266	0.2683	23.22184875	2.07904	5.24908	0.133087	0.168653	2.32312	0.102387	0.428788	3.85523	6.8799	6.93907	0.936963	1.50691	12.0295	11.323	2.95284	2.21775	12.8994	6.06605	0.829399	2.71917	2.18165	0.0147508	0.6053	0.133255	0.142206	3.59232	1.97173	3.4146	0.704522	4.74399	0.225416	14.5952	14.0945	0.914839	1.20876	0.182195	24.2928	0.358247	0.121381	0.215442	0.137768	0.532266	0.313522	5.63343	0.637834	0.515277	2.97196	2.4516	0.900845	1.23019	1.10683	0.150501	0.283678	0.0938949	0.014565	0.570663532	0	0.570663532	0	0.50386518	3	0	0	0	3	NA	17	0	0.0021978	0	0.0023753	0.002	4	16	6	2.91936788	45	4.69039	29	7.58035	NA	NA	NA	NA	2861	NA	NA	95.03749	1	NA	1	0	NA	NA	0.75	NA	NA	NA	1.558772	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.699	NA	most likely
ADRB2	NA	NA	NA	NA	52	-0.3705	38.04575749	25.6178	19.896	0.550471	2.75364	4.13095	2.38441	3.64479	1.16925	1.07282	0.934809	0.437363	0.537233	1.08738	0.916847	1.12552	0.825171	0.948112	0.814411	1.61443	1.36542	27.4385	0.918796	0.672835	6.26422	3.0243	2.78792	2.26621	4.8539	9.09194	4.96389	3.74804	3.47341	2.55022	0.419869	1.06624	3.40578	16.7264	4.83225	3.72013	6.38302	0.521782	0.356147	0.461902	6.00425	31.8511	27.5209	3.58338	8.47888	3.01045	0.649181	2.33451	3.90952	12.9557	4.06369	NA	0.838732221	0	0.838732221	0	0	3	0	0	0	3	0.42	38	0	0.0100471	0.152273	0.0181678	0.016	4	12	NA	10.75900262	37	9.69708	37	17.593	117	13.0237	0.476493104	0	2040	NA	NA	2513.68991	NA	0.668925405	1	0	4.639519904	NA	3.75	NA	NA	NA	1.042423	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75	NA	most likely
AGT	0.157	0.325	0	NA	198	-0.284	29.52287875	7.42255	14.0063	19.1442	60.8654	102.489	60.5178	3.43154	207.478	154.757	227.561	314.361	274.635	187.17	156.146	133.694	111.513	125.948	216.332	104.723	177.537	4.61016	0.869152	0.151938	19.789	8.64008	5.35434	6.59162	10.7216	1.21984	12.6952	10.9731	138.197	76.1076	28.7566	17.4583	1007.43	8.22461	5.54074	28.3251	22.3813	4.60661	4.10149	27.321	19.0343	1.16362	2.3187	13.5974	0.398593	4.60062	10.2313	25.1792	4.56268	5.61785	0.190568	0.050045	0.957427108	0.957427108	0.905486233	0	0	3	NA	NA	NA	3	0.49	55	0.833333	0.0160126	0.622951	0.0212493	0.02	NA	43	12	4.7137448	NA	NA	NA	NA	NA	NA	1.57429E-09	3	11774	NA	NA	587.2068	1	0.172807097	1	0	NA	NA	1.75	NA	0.981	0.996127017	3.373179	0.47605	0.45857	0.33074	0.39627	0.09813	0.62911	0.081	0.86109	0.73137	0.854	0.34272	most likely
