Gene	REVEL.max	MetaSVM_rankscore.max	MetaLR_rankscore.max	MCAP.max	wgEncodeBroadHmmHuvecHMM.count	betamax	logpval_gwascatalog	Adipose - Subcutaneous_GTExTPM	Adipose - Visceral (Omentum)_GTExTPM	Adrenal Gland_GTExTPM	Artery - Aorta_GTExTPM	Artery - Coronary_GTExTPM	Artery - Tibial_GTExTPM	Bladder_GTExTPM	Brain - Amygdala_GTExTPM	Brain - Anterior cingulate cortex (BA24)_GTExTPM	Brain - Caudate (basal ganglia)_GTExTPM	Brain - Cerebellar Hemisphere_GTExTPM	Brain - Cerebellum_GTExTPM	Brain - Cortex_GTExTPM	Brain - Frontal Cortex (BA9)_GTExTPM	Brain - Hippocampus_GTExTPM	Brain - Hypothalamus_GTExTPM	Brain - Nucleus accumbens (basal ganglia)_GTExTPM	Brain - Putamen (basal ganglia)_GTExTPM	Brain - Spinal cord (cervical c-1)_GTExTPM	Brain - Substantia nigra_GTExTPM	Breast - Mammary Tissue_GTExTPM	Cells - Cultured fibroblasts_GTExTPM	Cells - EBV-transformed lymphocytes_GTExTPM	Cervix - Ectocervix_GTExTPM	Cervix - Endocervix_GTExTPM	Colon - Sigmoid_GTExTPM	Colon - Transverse_GTExTPM	Esophagus - Gastroesophageal Junction_GTExTPM	Esophagus - Mucosa_GTExTPM	Esophagus - Muscularis_GTExTPM	Fallopian Tube_GTExTPM	Heart - Atrial Appendage_GTExTPM	Heart - Left Ventricle_GTExTPM	Kidney - Cortex_GTExTPM	Kidney - Medulla_GTExTPM	Liver_GTExTPM	Lung_GTExTPM	Minor Salivary Gland_GTExTPM	Muscle - Skeletal_GTExTPM	Nerve - Tibial_GTExTPM	Ovary_GTExTPM	Pancreas_GTExTPM	Pituitary_GTExTPM	Prostate_GTExTPM	Skin - Not Sun Exposed (Suprapubic)_GTExTPM	Skin - Sun Exposed (Lower leg)_GTExTPM	Small Intestine - Terminal Ileum_GTExTPM	Spleen_GTExTPM	Stomach_GTExTPM	Testis_GTExTPM	Thyroid_GTExTPM	Uterus_GTExTPM	Vagina_GTExTPM	Whole Blood_GTExTPM	Adipose_Subcutaneous_GTExFC	Adipose_Visceral_Omentum_GTExFC	Adrenal_Gland_GTExFC	Artery_Aorta_GTExFC	Artery_Coronary_GTExFC	Artery_Tibial_GTExFC	Brain_Amygdala_GTExFC	Brain_Anterior_cingulate_cortex_BA24_GTExFC	Brain_Caudate_basal_ganglia_GTExFC	Brain_Cerebellar_Hemisphere_GTExFC	Brain_Cerebellum_GTExFC	Brain_Cortex_GTExFC	Brain_Frontal_Cortex_BA9_GTExFC	Brain_Hippocampus_GTExFC	Brain_Hypothalamus_GTExFC	Brain_Nucleus_accumbens_basal_ganglia_GTExFC	Brain_Putamen_basal_ganglia_GTExFC	`Brain_Spinal_cord_cervical_c-1`_GTExFC	Brain_Substantia_nigra_GTExFC	Breast_Mammary_Tissue_GTExFC	Cells_Cultured_fibroblasts_GTExFC	`Cells_EBV-transformed_lymphocytes`_GTExFC	Colon_Sigmoid_GTExFC	Colon_Transverse_GTExFC	Esophagus_Gastroesophageal_Junction_GTExFC	Esophagus_Mucosa_GTExFC	Esophagus_Muscularis_GTExFC	Heart_Atrial_Appendage_GTExFC	Heart_Left_Ventricle_GTExFC	Kidney_Cortex_GTExFC	Liver_GTExFC	Lung_GTExFC	Minor_Salivary_Gland_GTExFC	Muscle_Skeletal_GTExFC	Nerve_Tibial_GTExFC	Ovary_GTExFC	Pancreas_GTExFC	Pituitary_GTExFC	Prostate_GTExFC	Skin_Not_Sun_Exposed_Suprapubic_GTExFC	Skin_Sun_Exposed_Lower_leg_GTExFC	Small_Intestine_Terminal_Ileum_GTExFC	Spleen_GTExFC	Stomach_GTExFC	Testis_GTExFC	Thyroid_GTExFC	Uterus_GTExFC	Vagina_GTExFC	Whole_Blood_GTExFC	DeepSEA_Functional_Significance	ExomiserScore	humanscore_Exomiser	mousescore_Exomiser	fishscore_Exomiser	ppiscore_Exomiser	BPmed	SideeffectFreq	Sideeffectseverity	Others	Mechanism	RVIS_Score	Rank	humancellsensitivity	humancellspecificity	mousecellsensitivity	mousecellspecificity	ui_panglaoDB	SDI	SignalValue_H3k4me1_median	SignalValue_H3k4me3_median	SignalValue_H3k27Ac_median	pLI_ExAC	CNVs_ExAC	Gene_length	MGI_Gene	Ratmodel_Gene	GDI_Score	GTEx_signif_sexbias	HIPred	IPA_BP	IPA_Activity	O_GlcNAc_Score	EMS_Max	PharmGKB_Score	ExAc_constraint_obs_exp	SIFT	PolyPhen	LoFtool	CADD_raw	DANN_score	Eigen-raw_coding	GERP++_NR	GERP++_RS	GenoCanyon_score	M-CAP_score	MetaLR_score	MetaSVM_score	MutationAssessor_score	DEOGEN2_score	PROVEAN_score	MutPred_score	REVEL_score	FATHMM_score	fathmm-MKL_coding_score	integrated_fitCons_score	GERP_Rankscore	PMIDB_Metabolite_interactor	interaction	SignalValue_H3k27me3_median	SignalValue_H3k9ac_median	SignalValue_H3k9me1_median	H4k20me1_count	SignalValue_H4k20me1_median	BPlabel
CYP11B1	NA	NA	NA	NA	55	-0.5502	NA	0.0284147	0.0860757	4787.34	0.162889	0.151634	0.0267727	0.477276	0.0386169	0.0410486	0.0395387	0.166941	0.230715	0.0687609	0.0488995	0.0466009	0.0263859	0.0465612	0.044478	0.011179	0.0191847	0.0687621	0.0330097	0.0788225	0.86238	0.180114	0.0912088	0.184434	0.0881795	0.29272	0.177367	0.536007	0.0548498	0.0369693	0.22845	0.158683	0.19893	0.154339	0.179242	0.0200648	0.0527591	0.360754	0.198334	0.265705	0.229675	0.0570605	0.0415018	0.206452	0.327971	0.200143	6.4103	0.149006	0.351699	0.300774	0.0546892	2.540913	1.110649	-0.396756	-2.962818	-1.539999	3.70651	-1.397316	-6.643856	-2.39529	-6.643856	3.337152	-6.643856	2.247876	-3.708659	-6.643856	-1.821252	-1.395521	1.651026	3.974244	4.054573	2.566918	3.044156	-6.643856	-2.517421	1.494785	2.081427	3.056516	2.706704	-1.514063	4.078174	-3.930338	0.9914	2.902145	-1.142746	-1.619486	-6.643856	2.575001	-2.301667	4.073819	2.242977	-6.643856	1.721874	2.84375	4.097321	0.253541	-2.402627	3.300283	2.846795	1.531389	0.14038	0.957427108	0.957427108	0.930627006	0	0.511189987	NA	NA	NA	NA	NA	-1.19	245	NA	NA	NA	NA	NA	1.6697435	NA	NA	NA	0.00143393188162045	18	7490	NA	NA	350.77826	NA	0.132359073	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	probable
CYP11B2	NA	NA	NA	NA	17	-0.3979	10.698970004336	0	0	89.3696	0	0	0	0	0	0	0.00588415	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044676	0	0	0	0	0	0	0	0	0	0	0	0.00948479	0	0	0	0	0	0	0	0	0	0	0	0.0212902	0	0.191225	0	0	0	0	NA	NA	1.088412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.592445	NA	NA	NA	NA	0.12941	0.957427108	0.957427108	0.826392613	0	0.512275429	3	NA	NA	NA	NA	0.56	3	0	0	0	0	0	1.6697435	NA	NA	NA	3.92718052728051e-13	34	7284	NA	NA	295.69785	NA	0.111908376	0	0	NA	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	most likely
CYP17A1	NA	NA	NA	NA	606	0.4083	40.5228787452803	0.809951	0.612569	6921.5	1.37878	1.25503	1.32349	0.728715	0.45048	0.615187	0.692853	1.62259	1.92631	0.721465	0.638314	0.550322	0.455711	0.743823	0.545054	0.547962	0.451423	0.865661	0.106101	0.120849	2.11449	1.58773	0.560533	0.4759	0.772182	0.501403	0.686962	2.2445	0.325463	0.20228	4.71952	4.72876	1.95006	0.843302	0.572294	1.30152	2.42779	2.11452	0.517213	0.924255	0.941888	0.57041	0.630285	0.594679	0.814818	0.903008	14.5682	6.30804	1.21077	1.00235	0.303964	0.378522	-0.427806	-0.832399	-0.422385	-0.591849	0.278524	-1.158376	1.497806	0.363287	0.531662	-0.664823	-0.539329	0.60359	0.795142	-0.65978	0.410855	-6.643856	-0.427672	-1.041522	0.954902	2.357411	2.709578	1.297834	1.463754	1.138721	-1.681743	-1.901866	2.19461	-0.647928	-0.630365	1.422911	1.059282	2.356081	0.357358	-0.303501	2.686582	2.372472	-5.16217	2.631677	-0.333732	-0.859211	1.165507	-6.643856	0.380054	1.386835	-0.270895	2.729239	3.388272	0.647326	0.19704	0.957427108	0.957427108	0	0	0.511992836	NA	NA	NA	NA	NA	-0.69	197	1	0.00125392	0.636364	0.000642096	0.001	3.92083295	8.46485	NA	NA	0.0350306078051602	2	7002	NA	NA	8.73654	NA	0.309100866	0	0	NA	NA	NA	NA	NA	NA	0.455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.69938	NA	NA	NA	NA	probable
CYP1A2	NA	NA	NA	NA	2317	-0.7345	6.52287874528034	0.0201136	0.0537581	0.0128524	0.0145153	0.0267522	0	0	0	0	0	0.0111252	0.0150543	0	0	0	0	0	0	0	0	0.0165423	0	0.0593256	0.0174201	0.0076516	0	0	0	0.0152555	0	0.03956	0	0	0.029755	0.0669868	71.5396	0.189513	0.0102511	0	0.0102913	0.0164478	0	0.0143068	0.0171579	0.0958014	0.163965	0	0.0153888	0	0.105563	2.9889	0	0	0.0197973	NA	-6.643856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.883904	NA	NA	NA	NA	NA	NA	NA	3.186854	1.847903	1.79801	NA	NA	NA	NA	NA	NA	NA	2.844444	1.51176	NA	NA	NA	-1.177008	-0.342831	NA	NA	NA	NA	0.523864921	0	0	0	0.523864921	3	NA	NA	NA	NA	-0.6	NA	0.027027	0	0.35	0.000128659	0.001	2.89366853	6.34038	NA	3.95543	3.28540807222054e-10	5	7358	NA	NA	141.56503	1	0.111908376	0	0	NA	NA	-0.875	NA	0.04	0.999	0.56	4.013337	0.998755328214115	0.808949192841309	4.98	4.98	0.999999918689836	0.072435	0.5469	0.2649	3.03	0.803681	-4.44	0.851	0.777	-0.44	0.98611	0.487112	NA	NA	NA	2.43804	4.20576	NA	NA	NA	most likely
CYP21A2	NA	NA	NA	NA	224	-0.324	5.52287874528034	0.543362	1.5823	1673.18	0.853139	0.828625	0.562159	2.17328	0.73397	0.502529	0.642381	1.29913	1.45626	0.687337	0.472237	0.526352	0.895308	0.904776	0.521641	0.559248	0.600401	1.10178	0.106131	0.0880692	1.51139	2.36455	2.38598	0.738359	1.50511	0.370594	1.96034	3.22191	0.491444	0.183762	2.80251	2.66735	17.4681	0.775733	2.52129	0.0902374	2.84141	4.62909	0.273204	2.44539	1.60571	0.337649	0.432122	0.893285	3.27061	0.488208	0.987103	2.52037	1.91606	0.645591	0.154983	1.460377	1.292363	-0.389337	1.414421	2.036873	1.091284	1.03272	1.852474	1.331192	1.974036	1.84469	1.493583	1.016834	1.042125	1.253588	1.199714	4.313851	0.77321	0.817614	1.058942	1.25506	-2.161235	1.643843	0.991508	0.930619	0.751933	1.367706	1.146443	1.40535	0.725901	1.474277	1.092386	2.810405	1.129689	1.304439	0.944593	1.945072	2.948177	1.14058	1.975555	1.848616	2.367092	1.281002	0.823171	1.397437	1.230955	1.524553	1.390363	1.792273	NA	0.957427108	0.957427108	0	0	0	2	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.96359409	7.1103	NA	NA	0.672306731067129	NA	3405	NA	NA	2760.21963	NA	0.506795704	0	0	NA	NA	NA	0	0	1	NA	3.278542	0.998368547772137	0.122763482555551	4.96	4.96	0.91466281493399	0.152299	0.2812	-0.5037	NA	NA	-4.44	0.646	0.571	-1.06	0.95234	0.525926	NA	NA	NA	NA	NA	NA	NA	NA	probable
CYP27A1	NA	NA	NA	NA	96	-0.3323	17.1549019599857	39.841	38.6303	74.6985	85.857	55.7665	34.6108	55.3454	23.0163	17.6657	28.5184	12.9358	19.0452	22.4601	18.661	29.3271	28.9327	22.8637	31.2355	113.619	45.6854	47.467	20.39	1.68263	65.577	75.4274	46.7905	42.4371	47.3817	12.311	39.2755	58.1045	28.6278	9.22665	27.3585	20.1257	332.028	119.447	69.4841	23.7911	127.563	77.2235	5.34629	64.2761	85.2334	29.5871	31.8069	71.8125	24.9346	16.5257	33.6985	30.9324	49.3529	51.0504	18.2392	0.513018	0.558059	-0.46707	-0.4271	-0.42945	-0.543468	0.330643	0.274249	0.839336	1.415915	-0.082523	-0.379826	-0.10983	-1.208284	-0.163558	0.55206	-0.161967	0.768511	-0.144926	0.325818	0.182281	-2.946316	-1.650541	0.311363	-1.05833	0.257582	0.211278	0.108072	0.531692	-1.264756	-0.24137	-0.375365	-0.304301	-0.143381	0.091203	-0.68478	0.172699	0.182789	-1.023923	-0.302509	0.077239	-0.424189	0.285874	0.174949	0.397184	0.181945	-1.184648	1.136296	1.010533	0.066732	0.511870011	0	0.451842443	0	0.511870011	NA	NA	NA	NA	NA	-0.31	NA	0.5	0.0150706	0.00808081	0.00391603	0.006	2.32162457	5.96149	12.4183	8.08081	3.89681875061633e-11	3	33544	NA	NA	269.5604	1	0.146139458	1	2	NA	NA	NA	NA	0.14	0.081	0.705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.22698	17.4114	1.25768	39	1.92832	possible
CYP2C19	NA	NA	NA	NA	212	0.3776	15	0	0	0	0	0	0	0	0	0.0321396	0	0.0227764	0.0570563	0.0230822	0.0247673	0	0.0118295	0	0	0.0251461	0	0	0	0	0	0	0	0.328753	0	3.73312	0	0	0	0	0.0226458	0.00383093	13.2527	0.057295	0.0651891	0	0	0	0.0206248	0	0	0.715937	0.486491	4.92558	0	2.2179	0.0750059	0	0	1.20217	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.453106	NA	1.071988	NA	NA	NA	NA	1.185063	-3.172733	-6.643856	NA	NA	NA	NA	NA	NA	0.989182	1.08234	1.0572	NA	0.800651	-6.643856	NA	NA	0.937393	NA	0.075645	0.523343755	0	0	0	0.523343755	3	NA	NA	NA	NA	0.71	177	0	0	0	0	0	3.866916	NA	NA	NA	2.53768601148421e-10	NA	165106	NA	NA	378.83872	1	0.111908376	0	0	NA	NA	142.875	NA	NA	NA	0.923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.84677	NA	NA	NA	NA	NA	NA	NA	most likely
DALRD3	0.016	0.402	0	NA	282	-0.283	6.30102999566398	27.4172	21.6485	29.6193	20.2901	23.6525	20.0804	28.9739	10.9072	15.3794	12.2217	26.7474	29.5191	23.4792	20.2154	10.6128	11.969	14.7129	8.91421	10.7512	9.39131	30.7701	36.8842	26.3634	35.595	45.8977	18.6773	20.4073	16.8902	28.891	15.5382	32.1368	8.80305	6.91713	25.1763	29.8695	7.43044	27.3633	22.3868	8.01837	38.5691	43.2787	27.2983	43.4933	30.5989	37.3132	38.5017	22.3257	29.3126	21.8782	125.666	59.0318	33.085	30.007	13.3181	0.179676	0.109952	0.114815	0.202719	0.258128	0.125946	-0.258344	0.168244	0.399353	0.140543	0.23171	0.143353	0.097662	0.296262	0.136343	0.276349	0.119006	0.182909	0.171431	0.136839	0.168177	-0.798456	-0.206993	0.093473	0.174758	0.124501	0.161935	0.168119	0.088129	-0.367504	0.200399	0.103171	0.423113	0.143724	0.109867	0.36411	0.126747	0.107895	0.140747	-0.159856	-0.141425	-0.350877	0.124803	0.073484	0.247843	0.103924	0.733056	0.191206	0.23492	NA	0.500127671	0	0	0	0.500127671	2	5	2	NA	NA	-0.29	NA	NA	NA	NA	NA	NA	NA	6.92781	27.5239	16.3772	1.84813920683629e-05	2	6805	NA	NA	21.66294	1	0.17792584	0	0	NA	NA	NA	0.483605245	NA	NA	0.701	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31.2559	1.25423	11	2.3428	probable
DBH	0.184	0.293	0.071	NA	109	0.3188	28.301029995664	0.207369	0.310297	2.85355	0.181357	0.286014	0.0843999	0.616444	0.364796	1.38511	0.300303	0.773789	0.973767	2.51578	2.11972	0.196572	0.463194	0.308666	0.181733	0.154878	0.161715	0.22238	0.181602	0.0687099	0.951876	1.16589	0.367447	0.303276	0.371934	0.158732	0.28323	1.00974	0.514072	0.0750432	1.1002	1.99861	23.5694	1.82457	0.163501	0.0658249	2.22664	1.08592	1.50839	2.61192	0.917115	0.182559	0.145088	0.687471	1.58215	0.514454	0.659191	0.965215	0.795091	0.400767	0.0903968	-0.550191	0.899884	-0.45219	-6.643856	0.848719	0.647487	1.691632	0.920978	1.226203	1.144	-1.134928	0.814529	0.850832	-3.934101	-0.526529	-2.676838	-0.446022	-2.216272	-1.030234	-0.876634	-0.73501	2.579356	0.8918	0.657492	1.06721	-0.68655	0.965946	-0.314785	0.524912	-0.658299	1.555672	-0.354482	0.992063	0.831711	1.075032	-0.681184	-1.174978	-6.643856	1.274287	0.533192	0.82322	-2.175079	1.551346	-1.123052	-0.28444	-0.492922	-0.886859	-1.425995	0.964639	NA	0.651169479	0.651169479	0	0	0.534357093	2	4	3	NA	NA	-0.01	NA	0	0	1	0.000770021	0.001	12.63081829	7.5006	NA	NA	2.54160922305115e-06	8	22984	NA	NA	637.88987	NA	0.390099078	1	0	NA	NA	3	NA	1	0	0.802	1.20239	0.611465089185388	-1.04158741356707	4.81	2.81	0.0256783968471429	0.019438	0.0736	-0.9327	-2.045	0.155455	1.42	0.481	0.134	-0.84	0.32785	0.497415	0.63131	NA	NA	5.31799	NA	1.53061	NA	NA	probable
DDAH1	NA	NA	NA	NA	1	NA	9	13.9445	13.3297	33.4202	37.0194	27.0493	27.3926	25.724	88.1268	114.492	103.381	57.5032	48.7033	92.7442	113.7	63.4053	63.9323	98.8488	74.4421	24.9991	59.0541	14.7879	126.027	0.2433	13.8666	13.1	17.7602	29.4929	8.342	13.2901	12.858	19.2484	5.08619	3.25775	47.3361	60.5404	37.0926	32.9192	15.3997	12.4543	21.8193	6.92988	13.8853	18.5242	26.7791	9.26654	9.94567	22.7818	10.7771	22.7638	28.5401	25.8585	19.637	11.7901	0.118003	0.626172	0.193065	-0.564126	0.168616	0.608991	-0.08839	0.636572	0.115473	0.025362	0.656977	-0.439646	0.125859	-0.089613	1.254515	2.419946	0.122532	-0.117696	-0.789694	0.66383	-0.385079	0.134281	-2.185219	-0.148652	-0.134251	-0.598476	0.686083	-0.445683	-0.242423	0.478193	-1.086038	-0.883446	0.493513	0.434748	0.409495	0.076775	0.540423	-0.130154	-1.27913	0.297675	0.550032	0.235521	0.136376	1.053355	1.181465	-0.10818	0.200211	0.902408	-6.643856	-0.640966	0.032933	0.887688063	0	0.887688063	0	0.500084011	1	NA	NA	NA	NA	-0.1	NA	NA	NA	NA	NA	NA	1.99992492	8.80361	4.80926	9.76435	0.168276873038356	NA	259769	NA	NA	77.4528	1	0.591572225	1	1	NA	NA	NA	0.132247748	0	0.93	0.148	3.815074	0.997931826334026	0.469651086638116	5.16	5.16	0.999999999951479	0.009177	0.2811	-0.6078	2.32	0.775644	-4.02	0.484	0.234	NA	0.92668	0.706298	NA	NA	NA	4.58634	15.2383	1.5246	629	1.93513	probable
DEFB131	NA	NA	NA	NA	48	0.7071	34.698970004336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315077	0	0	0	2.70344	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.692121	NA	NA	NA	1.705879	NA	NA	NA	0.25481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.15739801203891	NA	5980	NA	NA	8.97171	NA	0.123297259	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
DKFZP434O1614	NA	NA	NA	NA	74	-0.459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1677	NA	NA	139.19509	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.35076	NA	NA	20	1.20181	least likely
DKFZP761K2322	NA	NA	NA	NA	1396	-0.5314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2662	NA	NA	796.35554	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
DLEU2L	NA	NA	NA	NA	30	0.3811	NA	0.867381	0.392936	0.369551	0.634329	0.701089	0.643829	0.716379	0.0999979	0.185348	0.188386	1.50563	2.91896	0.52414	0.279176	0.135532	0.244798	0.262351	0.113832	0.203157	0.104312	0.989247	0.744964	1.03867	1.10814	1.03599	0.63636	0.380114	0.757796	0.331529	0.768163	1.08495	0.430387	0.188748	0.16623	0.259165	0.0872401	0.606326	0.990711	1.01731	1.8527	1.7371	0.371268	1.29128	0.688808	0.937361	0.877014	0.547008	0.354317	0.397664	0.794476	1.01463	1.28928	0.914911	0.0309385	-0.251229	-0.390765	-0.231567	0.480584	0.919909	-0.328093	0.845689	-2.0353	0.619854	-0.462364	-0.244723	-0.512271	-1.955792	-1.000303	-0.73924	-1.720674	0.790329	-6.643856	1.739522	0.547539	0.238042	0.386695	0.514906	0.493944	-0.41718	0.914266	-0.343244	-0.380321	-0.488787	1.037834	1.589985	0.398914	-1.9069	-0.407777	-0.254595	-0.227874	-0.332176	-0.305947	1.0248	0.399804	-0.342151	-1.925131	0.506435	-0.417664	0.412115	-0.173338	0.520396	1.44332	NA	0.0028026	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	817	NA	NA	0.63842	NA	NA	0	0	NA	7.4696	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.29825	NA	NA	least likely
DOT1L	NA	NA	NA	NA	30	-0.4341	27.1549019599857	12.0172	12.5583	12.7667	10.8828	11.3605	8.68123	11.9147	3.87243	3.90291	6.27575	30.5068	37.6811	6.93163	5.20505	4.69937	5.1915	6.22879	5.93488	6.30609	4.07158	13.9984	14.6633	51.021	16.1763	16.0886	12.7026	14.4352	11.9728	18.5307	11.7568	17.5797	6.34198	3.90795	13.3885	17.369	7.68865	28.8616	12.9306	7.79902	19.8046	18.9662	8.42344	21.8219	15.2575	20.5293	20.2095	24.2531	25.3741	13.0106	111.665	27.9468	18.5391	15.5068	7.00871	0.076364	-0.09097	-0.219639	0.147714	0.158725	0.179078	0.225246	0.404068	0.398362	0.375364	0.398923	-0.571829	0.432819	0.30583	1.502838	0.584397	0.415628	-0.210985	0.259494	0.230603	0.07002	0.143281	0.649324	0.334907	0.493255	0.065829	0.491991	0.279057	0.096441	0.115138	-0.566014	0.233975	0.972858	-0.09817	0.06508	0.554364	0.292175	0.466295	0.197056	0.078556	0.08427	0.29802	0.174861	0.172933	-0.223103	0.283149	0.264857	0.229805	0.145265	0.074317	0.501969216	0	0	0	0.501969216	NA	NA	NA	NA	NA	-3.18	NA	NA	NA	NA	NA	NA	4.62746682	8.69533	7.30181	8.97981	0.999988961757209	5	68429	NA	NA	1608.73768	1	0.824708164	1	0	4.21758895986899	NA	1	0.155363523	0.01	1	0.0743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	9.75519	2.33766	338	7.15562	possible
